CCNA_00133 	43.8015858831	15.7665673553	5.7190333669	x	x	x	x
CCNA_00134 	60.4999393474	32.1724625289	17.6964481921	x	x	x	x
CCNA_00135 	44.4074327571	28.3280108714	18.1850656092	x	x	x	x
CCNA_00136 	33.4148960223	19.4991174861	x	x	x	x	x
CCNA_00137 	22.4607704137	9.7693948092	x	7.0181742503	x	x	x
CCNA_00138 	62.7211093486	43.7644199254	46.8988842646	17.8658324908	5.2756235181	3.8556156174	x
CCNA_00139 	20.5251964793	12.5507551989	x	x	2.9392607676	x	x
CCNA_00140 	47.0640736386	19.1253245005	6.2918641439	x	x	x	x
CCNA_00141 	33.4738051797	26.499960175	x	29.157413202	12.6903065538	4.2247945361	x
CCNA_00142 	31.4802955844	19.5505684884	x	x	x	x	x
CCNA_00143 	52.3196286318	12.5149152367	x	205.585175498	156.805110286	9.7638912923	x
CCNA_00144 	12.2877239196	7.5752444546	3.8286076534	x	3.8813506685	x	x
CCNA_00145 	27.9074035994	6.6437392465	x	x	x	x	x
CCNA_00146 	26.7714539287	8.0934860568	x	x	x	x	x
CCNA_00147 	74.4079713812	x	x	x	x	x	x
CCNA_00148 	50.8949726521	12.5420833581	x	x	x	x	x
CCNA_00149 	45.4923500295	x	x	x	x	x	x
CCNA_00150 	35.8113522154	21.1702037076	x	x	x	x	x
CCNA_00151 	55.3234847071	21.9447532375	5.9503071261	x	x	x	x
CCNA_00152 	35.8110589826	15.5053512973	6.2325432275	x	x	x	x
CCNA_00153 	104.395300788	67.906231941	62.7644394545	x	x	x	x
CCNA_00154 	x	x	x	x	x	x	x
CCNA_00155 	148.340553219	63.5243683343	14.607879808	x	x	x	x
CCNA_00156 	x	x	x	x	x	x	x
CCNA_00157 	38.6365611889	26.3349944366	71.8789022143	43.0429435646	13.3900416054	x	x
CCNA_00158 	48.6380075796	13.755910667	10.9220662441	x	x	x	x
CCNA_00159 	96.5427796745	82.586665008	94.2919167007	31.3887537401	16.9483116979	2.0063684028	x
CCNA_00160 	x	5.5179783382	14.3385510319	x	x	x	x
CCNA_00161 	1003.57369342	560.865316233	737.923279129	426.372672594	68.5586540763	22.6013623468	x
CCNA_00162 	1056.54960174	980.732230622	1190.60542747	462.67204019	27.3600159741	9.9237842978	x
CCNA_00163 	377.443332843	360.454740481	694.176874564	211.781369012	18.6437130984	6.3760490442	x
CCNA_00164 	172.546425658	165.709697369	317.144100083	181.810784954	17.895162012	6.7644596907	x
CCNA_00165 	29.9764338872	5.4248725364	x	x	x	x	x
CCNA_03915 	187.912890543	x	x	x	x	x	x
CCNA_00166 	74.8043114314	20.3259435677	x	12.7822107264	4.9778602705	x	x
CCNA_00167 	142.890109266	35.736583072	10.8251295415	x	x	x	x
CCNA_00168 	414.032562711	285.776653637	254.958014285	61.5612793236	x	x	x
CCNA_00169 	5.1109692399	2.5633256625	3.8473666217	x	x	x	x
CCNA_00170 	5.4344692419	2.8503784509	3.6992059666	5.7046161764	1.9549958056	x	x
CCNA_00171 	x	x	x	x	x	x	x
CCNA_00172 	5.6781098582	4.7359587668	2.1416448046	x	x	x	x
CCNA_00173 	5.6427546336	5.6167748071	8.8792178754	x	x	x	x
CCNA_00174 	x	4.8596401524	8.990701693	x	x	x	x
