gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	1	2	4	8	15
CCNA_00203	x	x	x	x	2	0	3.729878142337154	y	107	simple	2	x	x	4.605170185988092	3.729878142337154	x	x	x	x
CCNA_00206	x	x	x	x	2	0	3.9818139781291073	y	109	complex	2	x	x	4.605170185988092	3.9818139781291073	x	x	x	x
CCNA_00207	-0.3226045226004527	4.8253303939114796	-0.9985378065181814	2.1485972204376425	4	-1	3.5368682374406677	y	109	complex	4	x	x	4.605170185988092	4.5391549227711625	4.165128919501762	3.5368682374406677	x	x
CCNA_00210	-0.23432016412495402	4.8390460521086	-0.9947543362895276	2.958120071093482	6	-2	1.4088021226576888	y	112	complex	6	x	x	4.605170185988092	4.455394759812613	4.504714759807062	3.952064679785692	2.7551566357666473	1.4088021226576888
CCNA_00211	x	x	x	x	2	0	3.886143113018598	y	112	complex	2	x	x	4.605170185988092	3.886143113018598	x	x	x	x
CCNA_00212	-0.6700244889523761	5.675856245305281	-0.9711295103009651	1.0345102186395052	4	-2	3.001214696817889	y	112	complex	4	x	x	4.605170185988092	4.523490746551291	4.140301002646173	3.001214696817889	x	x
CCNA_00213	x	x	x	x	2	0	4.609601098237169	y	112	complex	2	x	x	4.605170185988092	4.609601098237169	x	x	x	x
CCNA_00214	-0.6450889794686097	5.042152309547388	-0.9867937937989381	1.074498561626217	4	-1	2.53509119405723	n	113	complex	6	x	x	4.605170185988092	4.383000801067194	3.546056399986244	2.53509119405723	0.3887416344115268	-0.19400027541550155
CCNA_00215	-0.2225207228912973	4.883852298454803	-0.7221547385804911	3.1149781087964192	4	-1	3.7848141714705164	n	114	complex	5	x	x	4.605170185988092	4.565298096189349	4.940875423086707	3.7848141714705164	0.8826566757104869	x
CCNA_00217	-0.7035017633397285	5.078958501241918	-0.985052160676212	0.9852813691175031	4	-1	2.242977719204502	n	116	complex	4	x	x	4.605170185988092	4.141027959910996	3.7510917369214116	2.242977719204502	x	x
CCNA_00220	-0.1084049525883174	4.303212697196553	-0.9477132637521059	6.394054552030167	6	-1	2.775115738777787	n	118	simple	6	x	x	4.605170185988092	3.9345765165711835	4.106427125351686	3.8275420847467556	3.290065497691088	2.775115738777787
CCNA_00222	-0.5119234259520872	4.750651941499713	-0.9634951905443978	1.35400559032987	4	-1	2.8157369038518567	y	120	simple	4	x	x	4.605170185988092	4.188977374414857	3.4525082755647927	2.8157369038518567	x	x
CCNA_00223	x	x	x	x	2	0	4.665137329321896	y	120	simple	2	x	x	4.605170185988092	4.665137329321896	x	x	x	x
CCNA_00225	x	x	x	x	0	0	1	n	122	simple	0	x	x	x	x	x	x	x	x
CCNA_00226	x	x	x	x	0	0	1	n	123	simple	0	x	x	x	x	x	x	x	x
CCNA_00229	x	x	x	x	2	0	3.347146612295369	n	125	simple	2	x	x	4.605170185988092	3.347146612295369	x	x	x	x
CCNA_00231	x	x	x	x	1	0	4.605170185988092	n	127	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00233	x	x	x	x	2	0	3.728636112600006	y	129	complex	2	x	x	4.605170185988092	3.728636112600006	x	x	x	x
CCNA_00234	-0.346727926770003	4.929117296776592	-0.9976843358244011	1.9991097544898206	3	-1	4.2360209450500985	y	129	complex	3	x	x	4.605170185988092	4.568382897389914	4.2360209450500985	x	x	x
CCNA_00237	-1.3823992870959143	5.080820937658382	-0.9999947219412939	0.5014088093289454	3	-1	2.3143165941605335	y	131	complex	3	x	x	4.605170185988092	3.70272056425518	2.3143165941605335	x	x	x
CCNA_00238	x	x	x	x	3	0	3.8719177528629176	y	131	complex	3	x	x	4.605170185988092	4.610163545385072	3.8719177528629176	x	x	x
CCNA_00239	x	x	x	x	2	0	4.7304749064979825	y	131	complex	2	x	x	4.605170185988092	4.7304749064979825	x	x	x	x
CCNA_00240	x	x	x	x	2	0	3.471630382364621	y	131.1	simple	2	x	x	4.605170185988092	3.471630382364621	x	x	x	x
CCNA_00241	x	x	x	x	2	0	3.5658700545479305	y	131.1	simple	2	x	x	4.605170185988092	3.5658700545479305	x	x	x	x
CCNA_00244	x	x	x	x	0	0	1	y	133	simple	0	x	x	x	x	x	x	x	x
CCNA_00245	x	x	x	x	2	0	3.7632977426533283	y	133	simple	2	x	x	4.605170185988092	3.7632977426533283	x	x	x	x
CCNA_00246	x	x	x	x	2	0	3.9696587163305748	y	133	simple	2	x	x	4.605170185988092	3.9696587163305748	x	x	x	x
CCNA_00249	x	x	x	x	2	0	3.320799092032555	y	136	complex	2	x	x	4.605170185988092	3.320799092032555	x	x	x	x
CCNA_00250	-1.6953944004360793	5.957592501572806	-0.9910396234021577	0.4088412586367267	3	-1	2.5832259965249498	y	136	complex	3	x	x	4.605170185988092	4.1138523002674106	2.5832259965249498	x	x	x
CCNA_00251	x	x	x	x	2	0	3.9614512836100637	y	136	complex	2	x	x	4.605170185988092	3.9614512836100637	x	x	x	x
CCNA_00253	-0.372757055383084	4.555387778897533	-0.9924034788786725	1.859514583426449	5	-1	1.6220585649505064	n	138	simple	5	x	x	4.605170185988092	4.053744418038449	3.7087300797150515	3.0241984921929435	1.6220585649505064	x
CCNA_00254	x	x	x	x	2	0	4.755167519091512	n	139	simple	2	x	x	4.605170185988092	4.755167519091512	x	x	x	x
CCNA_00261	-0.20022888550516002	3.924056523236949	-0.8844802206083224	3.4617741531707344	6	-1	1.4191306054566528	n	145	simple	6	x	x	4.605170185988092	3.9641263467830696	3.2193766740819885	2.572766853353314	1.6636479252546958	1.4191306054566528
CCNA_00262	-0.2982619942630501	4.766698441418256	-0.9609665004723823	2.3239540869851116	3	-1	4.139205712288243	n	146	simple	3	x	x	4.605170185988092	4.548982488042338	4.139205712288243	x	x	x
CCNA_00265	-0.6142768041284447	4.63713804813932	-0.9443297767248083	1.1283954984160673	4	-1	2.3485003214919433	n	149	complex	4	x	x	4.605170185988092	3.8754382256901643	3.035054008344908	2.3485003214919433	x	x
CCNA_00268	-0.8910407229807881	4.865555653133368	-0.9378342196596078	0.777907409485358	4	-1	1.5229365623016522	y	2303	complex	4	x	x	4.605170185988092	3.838245407630204	2.487669480978988	1.5229365623016522	x	x
CCNA_00269	-0.25090636914025183	5.16595154282275	-0.9657984950976606	2.762573078296348	5	-2	3.124560865111897	y	2303	complex	5	x	x	4.605170185988092	4.726085332880963	4.935696925897413	4.156850630176369	3.124560865111897	x
CCNA_00270	x	x	x	x	3	0	4.936197273371747	y	2303	complex	3	x	x	4.605170185988092	4.676322629285397	4.936197273371747	x	x	x
CCNA_00271	-0.08410120396563933	4.86601509823789	-0.815766411250418	8.241822326861573	6	-1	3.6370299070383516	y	152	complex	6	x	x	4.605170185988092	4.584525275130595	5.353738838677906	4.450329820309045	4.0352013288284185	3.6370299070383516
CCNA_00272	-0.4675269431486509	4.7558158274137226	-0.9680191910174863	1.482582321121027	4	-1	2.867512937726361	y	152	complex	4	x	x	4.605170185988092	4.039339366624362	3.9290410092165375	2.867512937726361	x	x
CCNA_00273	x	x	x	x	2	0	3.2495685321444525	y	152	complex	2	x	x	4.605170185988092	3.2495685321444525	x	x	x	x
CCNA_00274	x	x	x	x	1	0	4.605170185988092	n	153	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00277	x	x	x	x	2	0	3.625104039174081	y	156	simple	2	x	x	4.605170185988092	3.625104039174081	x	x	x	x
CCNA_00278	x	x	x	x	2	0	4.56651815047729	y	156	simple	2	x	x	4.605170185988092	4.56651815047729	x	x	x	x
CCNA_00279	x	x	x	x	0	0	3	y	156	simple	0	x	x	x	x	x	x	x	x
CCNA_00282	-0.14301674938169948	4.457799846564415	-0.8160845626133032	4.846615403836335	4	-1	3.925682630213665	n	158	simple	4	x	x	4.605170185988092	4.082462767770229	4.1954667136015225	3.925682630213665	x	x
CCNA_00291	x	x	x	x	2	0	3.943360810226799	n	163	complex	2	x	x	4.605170185988092	3.943360810226799	x	x	x	x
CCNA_00292	x	x	x	x	2	0	4.021325785761191	y	163.1	simple	2	x	x	4.605170185988092	4.021325785761191	x	x	x	x
CCNA_00293	-0.8466454467474764	5.910089811258441	-0.9744258284290647	0.8186982912655832	4	-2	2.442701705375934	y	163.1	simple	4	x	x	4.605170185988092	4.59138063421713	4.523051664002419	2.442701705375934	x	x
CCNA_00294	-0.5585693103949305	5.755173830302135	-0.9762891281423663	1.2409331620275788	4	-2	3.4968461058460765	y	163.1	simple	4	x	x	4.605170185988092	4.760625424371023	4.8050958838867	3.4968461058460765	x	x
CCNA_00295	-0.41818311033343925	5.543918652228269	-0.9417101069295365	1.6575207449369795	4	-2	3.8688323536884335	y	163.1	simple	4	x	x	4.605170185988092	4.4877444872246235	4.88241357776311	3.8688323536884335	x	x
CCNA_00296	x	x	x	x	4	0	4.290432208600801	y	163.1	simple	4	x	x	4.605170185988092	4.47196916772119	4.715905503277443	4.290432208600801	x	x
CCNA_00299	x	x	x	x	2	0	3.824408653102597	n	165	simple	2	x	x	4.605170185988092	3.824408653102597	x	x	x	x
CCNA_00301	x	x	x	x	2	0	3.2795311656622665	y	167	complex	2	x	x	4.605170185988092	3.2795311656622665	x	x	x	x
CCNA_00302	x	x	x	x	2	0	4.389464011131883	y	167	complex	2	x	x	4.605170185988092	4.389464011131883	x	x	x	x
CCNA_00308	x	x	x	x	2	0	3.3513231462739776	n	169	complex	2	x	x	4.605170185988092	3.3513231462739776	x	x	x	x
CCNA_00318	x	x	x	x	2	0	3.770052299734287	n	172	simple	2	x	x	4.605170185988092	3.770052299734287	x	x	x	x
CCNA_00322	x	x	x	x	2	0	2.1233711806599813	y	175	simple	2	x	x	4.605170185988092	2.1233711806599813	x	x	x	x
CCNA_00323	-0.6340441330204561	4.8103383971868166	-0.9603422095458304	1.0932159836539048	4	-1	2.3063707792483643	y	175	simple	4	x	x	4.605170185988092	3.858198250290895	3.4964748594100374	2.3063707792483643	x	x
CCNA_00326	-0.1548347914208617	3.6810422176236104	-0.8068326843841679	4.476688825548765	6	-1	1.733778506953839	n	177	simple	6	x	x	4.605170185988092	3.6161255993676606	2.9904790297511474	2.2568578320252177	2.170085138560282	1.733778506953839
CCNA_00328	x	x	x	x	2	0	3.8142762175164022	y	179	simple	2	x	x	4.605170185988092	3.8142762175164022	x	x	x	x
CCNA_00329	x	x	x	x	2	0	4.3838313473623325	y	179	simple	2	x	x	4.605170185988092	4.3838313473623325	x	x	x	x
CCNA_00331	x	x	x	x	1	0	4.605170185988092	y	181	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00332	x	x	x	x	1	0	4.605170185988092	y	181	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00334	x	x	x	x	0	0	1	y	183	complex	0	x	x	x	x	x	x	x	x
CCNA_00335	x	x	x	x	0	0	2	y	183	complex	0	x	x	x	x	x	x	x	x
CCNA_00336	x	x	x	x	0	0	3	y	183	complex	0	x	x	x	x	x	x	x	x
CCNA_00337	x	x	x	x	2	0	3.075417124304831	y	183	complex	2	x	x	4.605170185988092	3.075417124304831	x	x	x	x
CCNA_00338	-0.4049548536846176	5.283869092624831	-0.9911850051011714	1.711665323314718	5	-3	2.0925723509195566	y	183	complex	5	x	x	4.605170185988092	4.4737390796867205	4.167542651634575	3.490705265765942	2.0925723509195566	x
CCNA_00339	-0.18698119898122922	4.590056844270168	-0.9766457733911879	3.707042121542548	5	-1	3.185557728318422	n	183.1	complex	5	x	x	4.605170185988092	4.386655147777505	4.207990092983286	3.6487222824134933	3.185557728318422	x
CCNA_00340	-0.6446397213129113	4.720849328747994	-0.9825803267455457	1.0752473942316816	4	-1	2.223790921578562	y	184	complex	4	x	x	4.605170185988092	3.9068014768436683	3.293302283725333	2.223790921578562	x	x
CCNA_00341	-0.5554325864034856	5.1892813888428195	-0.9961576692703259	1.2479411498849637	4	-1	2.9370321725493627	y	184	complex	5	x	x	4.605170185988092	4.65770914808658	4.163051824855963	2.9370321725493627	0.8723650113507864	x
CCNA_00342	x	x	x	x	4	0	3.552188182843882	y	184	complex	6	x	x	4.605170185988092	4.604244096915722	4.428621443336339	3.552188182843882	0.9486545751390183	0.3057694090937833
CCNA_00343	-0.4835089116359732	6.2468605133018045	-0.9883473984443395	1.433576846008178	5	-3	2.327606190888378	y	184	complex	6	x	x	4.605170185988092	4.629910772603558	4.9143557536228775	4.535977544979828	2.327606190888378	0.9944269132779701
CCNA_00344	x	x	x	x	2	0	4.48664509886922	n	185	simple	2	x	x	4.605170185988092	4.48664509886922	x	x	x	x
CCNA_00346	-0.38283890793058406	4.6839955140918415	-0.9938298955198287	1.8105452873291186	5	-1	1.6055273274122506	n	187	simple	5	x	x	4.605170185988092	4.169668120795353	3.8055216164632473	3.2469591201902532	1.6055273274122506	x
CCNA_00347	x	x	x	x	2	0	4.5657672504627556	n	188	simple	2	x	x	4.605170185988092	4.5657672504627556	x	x	x	x
